first,last,pos,value,id,W,SV,SO,-ERA,-WHIP,QS(=1),H,BB,IPOuts,HBP,IBB,L,G,GS,CG,SHO,ER,HR,WP,BK,BFP,GF,R,age,years played,weight,height
Trevor,Cahill,P,-14.1904607842,cahiltr01,1,0,22,-2.12,-0.2549019607843137,1,8.0,5.0,51.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,63.0,0.0,4.0,27,6,240,76
Matt,Cain,P,-8.37211595867,cainma01,2,0,41,-5.79,-0.5,1,71.0,20.0,182.0,4.0,0.0,4.0,13.0,11.0,0.0,0.0,39.0,12.0,1.0,0.0,271.0,0.0,39.0,31,10,230,75
Arquimedes,Caminero,P,0.503013851241,caminar01,5,0,73,-3.62,-0.4107142857142857,1,63.0,29.0,224.0,6.0,2.0,1.0,73.0,0.0,0.0,0.0,30.0,7.0,6.0,1.0,318.0,19.0,31.0,28,2,245,76
Leonel,Campos,P,-19.4544720185,campole01,0,0,1,-9.0,-0.6666666666666666,1,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,28,1,200,74
Carter,Capps,P,-3.96726900559,cappsca01,1,0,58,-1.16,-0.26881720430107525,1,18.0,7.0,93.0,2.0,0.0,0.0,30.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,118.0,8.0,5.0,25,3,220,77
Buddy,Carlyle,P,-18.152013672,carlybu01,1,1,6,-5.63,-0.375,1,8.0,1.0,24.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,32.0,1.0,5.0,38,16,210,75
David,Carpenter,P,-19.3958752306,carpeda01,0,0,4,-1.5,-0.3888888888888889,1,5.0,2.0,18.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,25.0,3.0,1.0,30,4,230,74
David,Carpenter,P,-18.4825036429,carpeda02,0,0,5,-7.36,-0.5454545454545454,1,6.0,0.0,11.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,17.0,1.0,3.0,28,3,180,75
Andrew,Cashner,P,26.9444448086,cashnan01,6,0,165,-4.34,-0.48014440433212996,1,200.0,66.0,554.0,6.0,2.0,16.0,31.0,31.0,0.0,0.0,89.0,19.0,3.0,0.0,804.0,0.0,111.0,29,5,225,77
Miguel,Castro,P,-17.899510466,castrmi01,0,0,6,-10.13,-0.625,1,6.0,4.0,16.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,26.0,3.0,6.0,21,0,190,77
Simon,Castro,P,-17.5174899679,castrsi01,2,0,9,-6.1,-0.5161290322580645,1,11.0,5.0,31.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,47.0,2.0,7.0,27,2,230,77
