first,last,pos,value,id,OBP,SLG,R,HR,RBI,SB,G,AB,H,2B,3B,CS,BB,SO,IBB,HBP,SH,SF,GIDP,age,years played,weight,height
Alberto,Callaspo,3B,-23.8794573412,callaal01,0.2926829268292683,0.2523364485981308,12,1,8,0,37,107,22,2,0,0,14,10,1,0,0,2,4,32,9,225,69
Alberto,Callaspo,3B,-26.8712304269,callaal01,0.3357664233576642,0.3008130081300813,8,0,7,0,60,123,32,5,0,0,14,24,0,0,1,0,2,32,9,225,69
Eric,Campbell,OF,-13.1385411469,campber01,0.3121951219512195,0.2947976878612717,28,3,19,5,71,173,34,8,0,3,26,37,1,4,1,2,11,28,1,205,75
Carter,Capps,P,-31.6259933443,cappsca01,0.5,0.5,0,0,0,0,30,2,1,0,0,0,0,1,0,0,0,0,0,25,3,220,77
Matt,Carpenter,3B,45.614179279,carpema01,0.36541353383458647,0.5052264808362369,101,28,84,4,154,574,156,44,3,3,81,151,5,6,0,4,5,30,4,215,75
Andrew,Cashner,P,-30.4403054737,cashnan01,0.09836065573770492,0.08333333333333333,2,0,1,0,38,60,5,0,0,0,1,24,0,0,0,0,0,29,5,225,77
Welington,Castillo,C,-27.4268381319,castiwe01,0.23404255319148937,0.3488372093023256,5,2,5,0,24,43,7,2,0,0,3,12,1,1,0,0,0,28,5,210,70
Welington,Castillo,C,-0.974128617814,castiwe01,0.31683168316831684,0.49635036496350365,34,17,50,0,80,274,70,13,1,0,21,75,0,5,0,3,10,28,5,210,70
Daniel,Castro,SS,-22.075942293,castrda01,0.26262626262626265,0.34375,14,2,5,0,33,96,23,2,1,0,3,15,0,0,1,0,4,23,0,175,71
Starlin,Castro,SS,6.04281931899,castrst01,0.29636048526863085,0.37477148080438755,52,11,69,5,151,547,145,23,2,5,21,91,6,5,1,4,18,25,5,190,72
Darrell,Ceciliani,OF,-28.0411358549,cecilda01,0.2702702702702703,0.27941176470588236,5,1,3,5,39,68,14,2,0,1,4,25,0,2,0,0,0,25,0,220,73
Juan,Centeno,C,-31.629232488,centeju01,0.13043478260869565,0.09523809523809523,0,0,0,0,10,21,1,1,0,0,2,7,0,0,0,0,0,26,2,195,69
Francisco,Cervelli,C,5.96530513889,cervefr01,0.3695652173913043,0.401330376940133,56,7,43,1,130,451,133,17,5,1,46,94,1,8,4,1,12,29,7,205,73
Yoenis,Cespedes,OF,1.99922580032,cespeyo01,0.3373493975903614,0.6043478260869565,39,17,44,4,57,230,66,14,4,1,14,54,3,4,0,1,5,30,3,210,70
Jhoulys,Chacin,P,-31.6290795514,chacijh01,0.125,0.125,0,0,0,0,5,8,1,0,0,0,0,4,0,0,1,0,0,27,6,215,75
Andrew,Chafin,P,-31.6301082871,chafian01,0.0,0.0,0,0,0,0,66,3,0,0,0,0,0,1,0,0,0,0,0,25,1,225,74
Aroldis,Chapman,P,-31.0355694322,chapmar01,0.0,0.0,1,0,0,0,65,1,0,0,0,0,0,0,0,0,0,0,0,27,5,215,76
Tony,Cingrani,P,-31.0355694322,cingrto01,0.0,0.0,1,0,1,0,35,2,0,0,0,0,0,1,0,0,0,0,0,26,3,210,76
Pedro,Ciriaco,OF,-22.6898650719,ciriape01,0.2751677852348993,0.352112676056338,14,1,15,4,84,142,37,8,1,2,2,38,0,2,2,3,1,30,5,180,72
Tyler,Clippard,P,-31.6301082871,clippty01,0.0,0.0,0,0,0,0,32,1,0,0,0,0,0,0,0,0,0,0,0,30,8,200,75
Chris,Coghlan,OF,16.247798134,coghlch01,0.34063745019920316,0.4431818181818182,64,16,41,11,148,440,110,25,6,2,58,94,6,3,1,1,8,30,6,195,72
A. J.,Cole,P,-31.6301082871,coleaj01,0.0,0.0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,23,0,200,77
Gerrit,Cole,P,-28.6561078586,colege01,0.1774193548387097,0.15,5,0,2,0,33,60,9,0,0,0,2,28,0,0,9,0,0,25,2,230,76
Josh,Collmenter,P,-30.4392935404,collmjo01,0.26666666666666666,0.18518518518518517,2,0,1,0,44,27,5,0,0,0,3,9,0,0,2,0,1,29,4,235,76
Bartolo,Colon,P,-30.4397670463,colonba01,0.15,0.15517241379310345,2,0,4,0,33,58,8,1,0,0,0,24,0,1,4,1,2,42,18,285,71
Michael,Conforto,OF,-8.26420384751,confomi01,0.33505154639175255,0.5057471264367817,30,9,26,0,56,174,47,14,0,1,17,39,0,1,0,2,4,22,0,215,73
