first,last,pos,value,id,W,SV,SO,-ERA,-WHIP,QS(=1),H,BB,IPOuts,HBP,IBB,L,G,GS,CG,SHO,ER,HR,WP,BK,BFP,GF,R,age,years played,weight,height
Mat,Latos,P,7.54556697356,latosma01,4,0,79,-4.48,-0.41509433962264153,1,85.0,25.0,265.0,1.0,0.0,7.0,16.0,16.0,0.0,0.0,44.0,8.0,9.0,0.0,372.0,0.0,46.0,28,6,245,78
Mat,Latos,P,1.73100447901,latosma01,0,0,18,-6.66,-0.5068493150684932,1,31.0,6.0,73.0,0.0,1.0,3.0,6.0,5.0,0.0,0.0,18.0,3.0,1.0,1.0,106.0,1.0,19.0,28,6,245,78
Raudel,Lazo,P,0.48157309022,lazora01,0,0,5,-3.18,-0.4117647058823529,1,5.0,2.0,17.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,24.0,1.0,2.0,26,0,165,69
Mike,Leake,P,8.55328679424,leakemi01,9,0,90,-3.56,-0.3829268292682927,1,123.0,34.0,410.0,2.0,4.0,5.0,21.0,21.0,1.0,0.0,54.0,14.0,3.0,1.0,556.0,0.0,55.0,28,5,190,70
Mike,Leake,P,2.76620425762,leakemi01,2,0,29,-4.07,-0.39759036144578314,1,51.0,15.0,166.0,1.0,1.0,5.0,9.0,9.0,1.0,1.0,25.0,8.0,3.0,1.0,222.0,0.0,25.0,28,5,190,70
Jack,Leathersich,P,1.3447431843,leathja01,0,0,14,-2.31,-0.5428571428571428,1,12.0,7.0,35.0,1.0,0.0,1.0,17.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,52.0,6.0,3.0,25,0,200,71
Sam,LeCure,P,1.44117107798,lecursa01,0,0,15,-3.15,-0.38333333333333336,1,16.0,7.0,60.0,0.0,0.0,2.0,19.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,83.0,1.0,9.0,31,5,210,72
Zach,Lee,P,0.295380575498,leeza01,0,0,3,-13.5,-0.8571428571428571,1,11.0,1.0,14.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,24.0,0.0,7.0,24,0,210,76
Dominic,Leone,P,0.200102096349,leonedo01,0,0,2,-14.73,-0.7272727272727273,1,8.0,0.0,11.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,20.0,1.0,6.0,24,1,210,71
Jon,Lester,P,19.7617178162,lestejo01,11,0,207,-3.34,-0.37398373983739835,1,183.0,47.0,615.0,7.0,0.0,12.0,32.0,32.0,1.0,0.0,76.0,16.0,8.0,0.0,828.0,0.0,83.0,31,9,240,76
Adam,Liberatore,P,2.76630420671,liberad01,2,0,29,-4.25,-0.39325842696629215,1,26.0,9.0,89.0,0.0,4.0,2.0,39.0,0.0,0.0,0.0,14.0,3.0,1.0,0.0,122.0,5.0,14.0,28,0,240,75
Tim,Lincecum,P,5.69369753745,linceti01,7,0,60,-4.13,-0.49344978165938863,1,75.0,38.0,229.0,1.0,2.0,4.0,15.0,15.0,0.0,0.0,35.0,7.0,5.0,0.0,333.0,0.0,37.0,31,8,170,71
Francisco,Liriano,P,19.5603480101,liriafr01,12,0,205,-3.38,-0.4017857142857143,1,155.0,70.0,560.0,5.0,1.0,7.0,31.0,31.0,0.0,0.0,70.0,15.0,10.0,1.0,773.0,0.0,75.0,32,10,225,74
Radhames,Liz,P,2.58384481258,lizra01,1,0,27,-4.24,-0.5428571428571428,1,26.0,12.0,70.0,3.0,2.0,4.0,14.0,0.0,0.0,0.0,11.0,4.0,1.0,0.0,106.0,7.0,11.0,32,8,200,74
Jeff,Locke,P,12.3057694048,lockeje01,8,0,129,-4.49,-0.47326732673267324,1,179.0,60.0,505.0,7.0,4.0,11.0,30.0,30.0,0.0,0.0,84.0,15.0,5.0,0.0,736.0,0.0,95.0,28,4,195,72
Adam,Loewen,P,2.10555893686,loewead01,1,0,22,-6.98,-0.6379310344827587,1,20.0,17.0,58.0,3.0,1.0,0.0,20.0,0.0,0.0,0.0,15.0,3.0,5.0,0.0,93.0,7.0,15.0,31,9,235,78
Boone,Logan,P,4.22470877302,loganbo02,0,0,44,-4.33,-0.5377358490566038,1,40.0,17.0,106.0,5.0,1.0,3.0,60.0,0.0,0.0,0.0,17.0,3.0,3.0,0.0,168.0,12.0,17.0,31,9,215,77
Kyle,Lohse,P,11.874496488,lohseky01,5,2,108,-5.85,-0.487964989059081,1,180.0,43.0,457.0,4.0,3.0,13.0,37.0,22.0,0.0,0.0,99.0,29.0,5.0,0.0,665.0,5.0,99.0,37,14,215,74
Javier,Lopez,P,2.48641742801,lopezja02,1,0,26,-1.6,-0.2966101694915254,1,19.0,16.0,118.0,0.0,3.0,0.0,77.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,147.0,14.0,8.0,38,12,220,76
Jorge,Lopez,P,0.953144030837,lopezjo02,1,0,10,-5.4,-0.6333333333333333,1,14.0,5.0,30.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,6.0,0.0,1.0,0.0,46.0,0.0,6.0,22,0,190,75
